player_id,name,team,statistic,value,year,league
cabremi01,Miguel Cabrera,Detroit Tigers,RBI,126.0,2010,American
teixema01,Mark Teixeira,New York Yankees,Runs,113.0,2010,American
hamiljo03,Josh Hamilton,Texas Rangers,Slugging Average,0.633,2010,American
pierrju01,Juan Pierre,Chicago White Sox,Stolen Bases,68.0,2010,American
bautijo02,Jose Bautista,Toronto Blue Jays,Total Bases,351.0,2010,American
crawfca02,Carl Crawford,Tampa Bay Rays,Triples,13.0,2010,American
fieldpr01,Prince Fielder,Milwaukee Brewers,Base on Balls,114.0,2010,National
gonzaca01,Carlos Gonzalez,Colorado Rockies,Batting Average,0.336,2010,National
werthja01,Jayson Werth,Philadelphia Phillies,Doubles,46.0,2010,National
gonzaca01,Carlos Gonzalez,Colorado Rockies,Hits,197.0,2010,National
pujolal01,Albert Pujols,St. Louis Cardinals,Home Runs,42.0,2010,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.424,2010,National
pujolal01,Albert Pujols,St. Louis Cardinals,RBI,118.0,2010,National
pujolal01,Albert Pujols,St. Louis Cardinals,Runs,115.0,2010,National
vottojo01,Joey Votto,Cincinnati Reds,Slugging Average,0.6,2010,National
bournmi01,Michael Bourn,Houston Astros,Stolen Bases,52.0,2010,National
gonzaca01,Carlos Gonzalez,Colorado Rockies,Total Bases,351.0,2010,National
fowlede01,Dexter Fowler,Colorado Rockies,Triples,14.0,2010,National
bautijo02,Jose Bautista,Toronto Blue Jays,Base on Balls,132.0,2011,American
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.344,2011,American
cabremi01,Miguel Cabrera,Detroit Tigers,Doubles,48.0,2011,American
gonzaad01,Adrian Gonzalez,Boston Red Sox,Hits,213.0,2011,American
youngmi02,Michael Young,Texas Rangers,Hits,213.0,2011,American
bautijo02,Jose Bautista,Toronto Blue Jays,Home Runs,43.0,2011,American
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.448,2011,American
grandcu01,Curtis Granderson,New York Yankees,RBI,119.0,2011,American
grandcu01,Curtis Granderson,New York Yankees,Runs,136.0,2011,American
bautijo02,Jose Bautista,Toronto Blue Jays,Slugging Average,0.608,2011,American
crispco01,Coco Crisp,Oakland Athletics,Stolen Bases,49.0,2011,American
gardnbr01,Brett Gardner,New York Yankees,Stolen Bases,49.0,2011,American
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Total Bases,364.0,2011,American
bourjpe01,Peter Bourjos,Los Angeles Angels,Triples,11.0,2011,American
jacksau01,Austin Jackson,Detroit Tigers,Triples,11.0,2011,American
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,110.0,2011,National
reyesjo01,Jose Reyes,New York Mets,Batting Average,0.337,2011,National
vottojo01,Joey Votto,Cincinnati Reds,Doubles,40.0,2011,National
castrst01,Starlin Castro,Chicago Cubs,Hits,207.0,2011,National
kempma01,Matt Kemp,Los Angeles Dodgers,Home Runs,39.0,2011,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.416,2011,National
kempma01,Matt Kemp,Los Angeles Dodgers,RBI,126.0,2011,National
kempma01,Matt Kemp,Los Angeles Dodgers,Runs,115.0,2011,National
braunry02,Ryan Braun,Milwaukee Brewers,Slugging Average,0.597,2011,National
bournmi01,Michael Bourn,Houston Astros,Stolen Bases,61.0,2011,National
kempma01,Matt Kemp,Los Angeles Dodgers,Total Bases,353.0,2011,National
reyesjo01,Jose Reyes,New York Mets,Triples,16.0,2011,National
victosh01,Shane Victorino,Philadelphia Phillies,Triples,16.0,2011,National
dunnad01,Adam Dunn,Chicago White Sox,Base on Balls,105.0,2012,American
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.33,2012,American
gordoal01,Alex Gordon,Kansas City Royals,Doubles,51.0,2012,American
jeterde01,Derek Jeter,New York Yankees,Hits,216.0,2012,American
cabremi01,Miguel Cabrera,Detroit Tigers,Home Runs,44.0,2012,American
mauerjo01,Joe Mauer,Minnesota Twins,On Base Percentage,0.416,2012,American
cabremi01,Miguel Cabrera,Detroit Tigers,RBI,139.0,2012,American
troutmi01,Mike Trout,Los Angeles Angels,Runs,129.0,2012,American
cabremi01,Miguel Cabrera,Detroit Tigers,Slugging Average,0.606,2012,American
troutmi01,Mike Trout,Los Angeles Angels,Stolen Bases,49.0,2012,American
cabremi01,Miguel Cabrera,Detroit Tigers,Total Bases,377.0,2012,American
jacksau01,Austin Jackson,Detroit Tigers,Triples,10.0,2012,American
ugglada01,Dan Uggla,Atlanta Braves,Base on Balls,94.0,2012,National
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,94.0,2012,National
poseybu01,Buster Posey,San Francisco Giants,Batting Average,0.336,2012,National
ramirar01,Aramis Ramirez,Milwaukee Brewers,Doubles,50.0,2012,National
mccutan01,Andrew Mc Cutchen,Pittsburgh Pirates,Hits,194.0,2012,National
braunry02,Ryan Braun,Milwaukee Brewers,Home Runs,41.0,2012,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.474,2012,National
headlch01,Chase Headley,San Diego Padres,RBI,115.0,2012,National
braunry02,Ryan Braun,Milwaukee Brewers,Runs,108.0,2012,National
stantmi02,Mike Stanton,Miami Marlins,Slugging Average,0.608,2012,National
cabreev01,Everth Cabrera,San Diego Padres,Stolen Bases,44.0,2012,National
braunry02,Ryan Braun,Milwaukee Brewers,Total Bases,356.0,2012,National
paganan01,Angel Pagan,San Francisco Giants,Triples,15.0,2012,National
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,110.0,2013,American
cabremi01,Miguel Cabrera,Detroit Tigers,Batting Average,0.348,2013,American
machama01,Manny Machado,Baltimore Orioles,Doubles,51.0,2013,American
beltrad01,Adrian Beltre,Texas Rangers,Hits,199.0,2013,American
davisch02,Chris Davis,Baltimore Orioles,Home Runs,53.0,2013,American
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.442,2013,American
davisch02,Chris Davis,Baltimore Orioles,RBI,138.0,2013,American
troutmi01,Mike Trout,Los Angeles Angels,Runs,109.0,2013,American
cabremi01,Miguel Cabrera,Detroit Tigers,Slugging Average,0.636,2013,American
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,52.0,2013,American
davisch02,Chris Davis,Baltimore Orioles,Total Bases,370.0,2013,American
gardnbr01,Brett Gardner,New York Yankees,Triples,10.0,2013,American
vottojo01,Joey Votto,Cincinnati Reds,Base on Balls,135.0,2013,National
cuddymi01,Michael Cuddyer,Colorado Rockies,Batting Average,0.331,2013,National
carpema01,Matt Carpenter,St. Louis Cardinals,Doubles,55.0,2013,National
carpema01,Matt Carpenter,St. Louis Cardinals,Hits,199.0,2013,National
alvarpe01,Pedro Alvarez,Pittsburgh Pirates,Home Runs,36.0,2013,National
goldspa01,Paul Goldschmidt,Arizona Diamondbacks,Home Runs,36.0,2013,National
vottojo01,Joey Votto,Cincinnati Reds,On Base Percentage,0.435,2013,National
goldspa01,Paul Goldschmidt,Arizona Diamondbacks,RBI,125.0,2013,National
carpema01,Matt Carpenter,St. Louis Cardinals,Runs,126.0,2013,National
goldspa01,Paul Goldschmidt,Arizona Diamondbacks,Slugging Average,0.552,2013,National
