Player_ID,Name,Team,Statistic,Value,Year
trumbma01,Mark Trumbo,Baltimore Orioles,Home Runs,47.0,2016
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.441,2016
encared01,Edwin Encarnacion,Toronto Blue Jays,RBI,127.0,2016
ortizda01,David Ortiz,Boston Red Sox,RBI,127.0,2016
troutmi01,Mike Trout,Los Angeles Angels,Runs,123.0,2016
ortizda01,David Ortiz,Boston Red Sox,Slugging Average,0.62,2016
davisra01,Rajai Davis,Cleveland Indians,Stolen Bases,43.0,2016
bettsmo01,Mookie Betts,Boston Red Sox,Total Bases,359.0,2016
eatonad02,Adam Eaton,Chicago White Sox,Triples,9.0,2016
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,127.0,2017
altuvjo01,Jose Altuve,Houston Astros,Batting Average,0.346,2017
ramirjo01,Jose Ramirez,Cleveland Indians,Doubles,56.0,2017
altuvjo01,Jose Altuve,Houston Astros,Hits,204.0,2017
judgeaa01,Aaron Judge,New York Yankees,Home Runs,52.0,2017
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.442,2017
cruzne02,Nelson Cruz,Seattle Mariners,RBI,119.0,2017
judgeaa01,Aaron Judge,New York Yankees,Runs,128.0,2017
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,0.629,2017
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,34.0,2017
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,343.0,2017
casteni01,Nick Castellanos,Detroit Tigers,Triples,10.0,2017
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,122.0,2018
bettsmo01,Mookie Betts,Boston Red Sox,Batting Average,0.346,2018
bregmal01,Alex Bregman,Houston Astros,Doubles,50.0,2018
merriwh01,Whit Merrifield,Kansas City Royals,Hits,192.0,2018
daviskh01,Khris Davis,Oakland Athletics,Home Runs,48.0,2018
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,0.46,2018
martijd02,J.D. Martinez,Boston Red Sox,RBI,130.0,2018
bettsmo01,Mookie Betts,Boston Red Sox,Runs,129.0,2018
bettsmo01,Mookie Betts,Boston Red Sox,Slugging Average,0.64,2018
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,45.0,2018
martijd02,J.D. Martinez,Boston Red Sox,Total Bases,358.0,2018
sanchca01,Yolmer Sanchez,Chicago White Sox,Triples,10.0,2018
smithma05,Mallex Smith,Tampa Bay Rays,Triples,10.0,2018
bregmal01,Alex Bregman,Houston Astros,Base on Balls,119.0,2019
anderti01,Tim Anderson,Chicago White Sox,Batting Average,0.335,2019
deverra01,Rafael Devers,Boston Red Sox,Doubles,54.0,2019
